iter	Passed	Remaining
408	4944	7144
409	4955	7130
410	4967	7118
411	4978	7105
412	4990	7092
413	5002	7080
414	5016	7071
415	5028	7058
416	5040	7047
417	5051	7033
418	5062	7019
419	5074	7007
420	5086	6995
421	5098	6982
422	5109	6970
423	5122	6958
424	5133	6945
425	5145	6933
426	5156	6919
427	5168	6906
428	5178	6892
429	5190	6879
430	5201	6866
431	5212	6854
432	5224	6841
433	5236	6829
434	5247	6816
435	5260	6804
436	5271	6791
437	5284	6781
438	5297	6770
439	5309	6757
440	5320	6744
441	5333	6732
442	5345	6720
443	5357	6709
444	5369	6697
445	5380	6683
446	5391	6670
447	5402	6656
448	5414	6644
449	5426	6631
450	5437	6618
451	5448	6606
452	5460	6593
453	5472	6580
454	5482	6567
455	5494	6554
456	5506	6542
457	5517	6529
458	5528	6516
459	5541	6504
460	5552	6491
461	5563	6478
462	5575	6466
463	5586	6453
464	5598	6441
465	5610	6429
466	5621	6415
467	5633	6403
468	5644	6391
469	5656	6378
470	5667	6365
471	5679	6353
472	5691	6341
473	5704	6329
474	5715	6317
475	5727	6304
476	5739	6292
477	5750	6279
478	5761	6266
479	5773	6254
480	5785	6242
481	5796	6229
482	5808	6217
483	5820	6204
484	5831	6192
485	5844	6180
486	5855	6167
487	5865	6154
488	5877	6142
489	5890	6130
490	5901	6118
491	5913	6105
492	5924	6092
493	5935	6080
494	5947	6067
495	5959	6055
496	5970	6043
497	5983	6031
498	5994	6018
499	6006	6006
500	6017	5992
501	6028	5980
502	6039	5967
503	6051	5955
504	6062	5942
505	6074	5930
506	6086	5917
507	6102	5910
508	6115	5899
509	6127	5887
510	6138	5874
511	6157	5868
512	6168	5856
513	6179	5842
514	6190	5830
515	6202	5818
516	6214	5805
517	6226	5793
518	6238	5781
519	6249	5768
520	6261	5756
521	6273	5744
522	6285	5732
523	6298	5721
524	6310	5709
525	6322	5697
526	6333	5684
527	6346	5673
528	6358	5661
529	6369	5648
530	6380	5635
531	6391	5622
532	6400	5607
533	6410	5593
534	6420	5580
535	6431	5567
536	6442	5554
537	6453	5541
538	6463	5528
539	6473	5514
540	6483	5501
541	6493	5487
542	6505	5475
543	6515	5461
544	6525	5447
545	6534	5433
546	6545	5420
547	6555	5407
548	6565	5393
549	6574	5379
550	6584	5365
551	6593	5351
552	6603	5337
553	6613	5324
554	6623	5310
555	6634	5297
556	6645	5285
557	6654	5271
558	6665	5258
559	6675	5244
560	6685	5231
561	6695	5218
562	6705	5204
563	6715	5191
564	6726	5178
565	6736	5165
566	6746	5152
567	6757	5139
568	6766	5125
569	6777	5112
570	6787	5099
571	6798	5087
572	6808	5073
573	6820	5061
574	6832	5049
575	6843	5037
576	6854	5025
577	6866	5013
578	6879	5002
579	6891	4990
580	6904	4979
581	6916	4967
582	6928	4955
583	6939	4943
584	6951	4931
585	6962	4918
586	6972	4905
587	6984	4893
588	6995	4881
589	7006	4869
590	7019	4857
591	7028	4844
592	7043	4834
593	7059	4825
594	7075	4816
595	7089	4805
596	7101	4794
597	7123	4789
598	7137	4777
599	7148	4765
600	7163	4755
601	7176	4744
602	7189	4733
603	7202	4722
604	7215	4710
605	7227	4699
606	7241	4688
607	7254	4677
608	7267	4665
609	7280	4654
610	7293	4643
611	7306	4632
612	7319	4620
613	7331	4609
614	7344	4598
615	7358	4586
616	7371	4575
617	7383	4564
618	7396	4552
619	7410	4542
620	7423	4530
621	7437	4519
622	7451	4509
623	7464	4498
624	7477	4486
625	7488	4474
626	7500	4462
627	7512	4450
628	7525	4438
629	7537	4426
630	7548	4414
631	7559	4401
632	7572	4390
633	7584	4378
634	7596	4366
635	7607	4354
636	7619	4341
637	7630	4329
638	7641	4317
639	7653	4305
640	7665	4293
641	7677	4281
642	7689	4269
643	7700	4257
644	7713	4245
645	7725	4233
646	7737	4221
647	7748	4208
648	7759	4196
649	7771	4184
650	7782	4172
651	7794	4160
652	7806	4148
653	7816	4135
654	7828	4123
655	7840	4111
656	7852	4099
657	7863	4087
658	7874	4074
659	7886	4062
660	7897	4050
661	7909	4038
662	7922	4026
663	7933	4014
664	7944	4002
665	7956	3990
666	7968	3978
667	7981	3966
668	7995	3955
669	8008	3944
670	8022	3933
671	8034	3921
672	8048	3910
673	8059	3898
674	8072	3886
675	8083	3874
676	8094	3862
677	8107	3850
678	8122	3839
679	8138	3829
680	8153	3819
681	8168	3808
682	8179	3796
683	8191	3784
684	8202	3771
685	8212	3759
686	8224	3747
687	8236	3735
688	8246	3722
689	8257	3709
690	8267	3697
691	8278	3684
692	8289	3672
693	8299	3659
694	8312	3647
695	8323	3635
696	8334	3623
697	8345	3610
698	8355	3598
699	8367	3586
700	8378	3573
701	8390	3561
702	8402	3549
703	8412	3537
704	8424	3525
705	8434	3512
706	8447	3500
707	8458	3488
708	8469	3476
709	8481	3464
710	8492	3451
711	8503	3439
712	8516	3428
713	8528	3416
714	8538	3403
715	8549	3391
716	8560	3378
717	8572	3366
718	8583	3354
719	8594	3342
720	8604	3329
721	8615	3317
722	8628	3305
723	8640	3293
724	8649	3280
725	8660	3268
726	8671	3256
727	8682	3243
728	8693	3231
729	8705	3219
730	8718	3208
731	8731	3196
732	8743	3184
733	8755	3173
734	8768	3161
735	8777	3148
736	8787	3135
737	8798	3123
738	8811	3112
739	8824	3100
740	8837	3089
741	8851	3077
742	8861	3065
743	8872	3052
744	8883	3040
745	8894	3028
746	8905	3016
747	8916	3004
748	8926	2991
749	8937	2979
750	8948	2966
751	8959	2954
752	8970	2942
753	8982	2930
754	8992	2918
755	9002	2905
756	9014	2893
757	9026	2881
758	9037	2869
759	9049	2857
760	9060	2845
761	9071	2833
762	9083	2821
763	9094	2809
764	9106	2797
765	9116	2785
766	9127	2772
767	9137	2760
768	9148	2747
769	9159	2735
770	9168	2723
771	9179	2710
772	9189	2698
773	9200	2686
774	9211	2674
775	9223	2662
776	9234	2650
777	9245	2638
778	9257	2626
779	9268	2614
780	9281	2602
781	9292	2590
782	9302	2578
783	9316	2566
784	9329	2555
785	9340	2543
786	9351	2530
787	9362	2518
788	9373	2506
789	9383	2494
790	9394	2482
791	9406	2470
792	9417	2458
793	9428	2446
794	9439	2434
795	9450	2422
796	9461	2409
797	9472	2397
798	9482	2385
799	9494	2373
800	9507	2362
801	9522	2350
802	9534	2339
803	9545	2326
804	9557	2315
805	9568	2303
806	9579	2290
807	9591	2279
808	9606	2268
809	9621	2256
810	9637	2246
811	9650	2234
812	9661	2222
813	9673	2210
814	9684	2198
815	9695	2186
816	9708	2174
817	9719	2162
818	9730	2150
819	9742	2138
820	9752	2126
821	9763	2114
822	9775	2102
823	9787	2090
824	9798	2078
825	9809	2066
826	9822	2054
827	9834	2042
828	9844	2030
829	9855	2018
830	9867	2006
831	9879	1994
832	9891	1983
833	9902	1970
834	9915	1959
835	9926	1947
836	9938	1935
837	9949	1923
838	9959	1911
839	9971	1899
840	9983	1887
841	9993	1875
842	10004	1863
843	10015	1851
844	10026	1839
845	10036	1826
846	10047	1815
847	10059	1803
848	10071	1791
849	10083	1779
850	10094	1767
851	10104	1755
852	10117	1743
853	10137	1733
854	10150	1721
855	10162	1709
856	10173	1697
857	10184	1685
858	10197	1673
859	10208	1661
860	10219	1649
861	10231	1637
862	10243	1626
863	10254	1614
864	10265	1602
865	10277	1590
866	10288	1578
867	10299	1566
868	10310	1554
869	10322	1542
870	10332	1530
871	10343	1518
872	10354	1506
873	10365	1494
874	10376	1482
875	10388	1470
876	10400	1458
877	10412	1446
878	10424	1435
879	10436	1423
880	10447	1411
881	10458	1399
882	10470	1387
883	10481	1375
884	10493	1363
885	10504	1351
886	10516	1339
887	10529	1328
888	10540	1316
889	10551	1304
890	10563	1292
891	10574	1280
892	10585	1268
893	10597	1256
894	10608	1244
895	10619	1232
896	10631	1220
897	10643	1208
898	10656	1197
899	10667	1185
900	10678	1173
901	10690	1161
902	10701	1149
903	10712	1137
904	10724	1125
905	10735	1113
906	10747	1101
907	10759	1090
908	10770	1078
909	10782	1066
910	10794	1054
911	10805	1042
912	10816	1030
913	10828	1018
914	10839	1006
915	10851	995
916	10863	983
917	10874	971
918	10886	959
919	10898	947
920	10910	935
921	10920	923
922	10932	912
923	10943	900
924	10954	888
925	10966	876
926	10978	864
927	10990	852
928	11002	840
929	11012	828
930	11024	817
931	11037	805
932	11047	793
933	11059	781
934	11070	769
935	11082	757
936	11093	745
937	11105	734
938	11117	722
939	11129	710
940	11139	698
941	11151	686
942	11162	674
943	11173	662
944	11184	650
945	11196	639
946	11208	627
947	11220	615
948	11232	603
949	11244	591
950	11256	579
951	11267	568
952	11279	556
953	11291	544
954	11303	532
955	11315	520
956	11327	508
957	11339	497
958	11351	485
959	11362	473
960	11375	461
961	11386	449
962	11399	437
963	11410	426
964	11421	414
965	11431	402
966	11445	390
967	11456	378
968	11467	366
969	11478	355
970	11489	343
971	11501	331
972	11512	319
973	11525	307
974	11536	295
975	11549	283
976	11559	272
977	11571	260
978	11582	248
979	11595	236
980	11606	224
981	11616	212
982	11626	201
983	11638	189
984	11650	177
985	11661	165
986	11674	153
987	11685	141
988	11697	130
989	11708	118
990	11719	106
991	11730	94
992	11743	82
993	11754	70
994	11765	59
995	11776	47
996	11787	35
997	11798	23
998	11808	11
999	11819	0
